NFKB1,3.7580419253938313
SMAD5,3.9249086132385664
MXI1,3.988616605632609
KLF3,4.01518249319317
MYBL2,4.046170902391242
RELA,4.15443083959205
ARNT,4.167979793291926
ZBTB11,4.195582300561561
TCF7,4.242574171660745
DUX4,4.410278595670392
RBPJ,4.4506116851764475
TEAD1,4.451178577016433
NCOA3,4.7467354433936375
TCF4,4.782579651891184
IRF2,5.195284858617618
STAT1,5.306223001761709
KLF13,5.544930426092634
ONECUT1,5.579470971062802
MEF2A,5.723524740209978
ARID2,5.986084515620743
MBD1,6.140361597261409
MNT,7.687512840235654
SNAI2,8.27427907494599
ZBTB7A,14.395289358407853
ZNF263,22.742424237583087
